City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Longyearbyen,SJ,2021-06-14 03:40:10,78.2186,15.6401,33.64,60,75,6.91
120,Tutoia,BR,2021-06-14 03:40:10,-2.7619,-42.2744,76.8,89,17,8.72
121,Banyo,CM,2021-06-14 03:40:10,6.75,11.8167,64.72,93,99,0.2
122,Sorland,NO,2021-06-14 03:40:10,67.667,12.6934,44.13,73,93,4.0
123,Saint-Philippe,RE,2021-06-14 03:40:11,-21.3585,55.7679,71.15,75,81,16.84
124,Van,TR,2021-06-14 03:40:11,38.4924,43.3831,63.75,36,0,9.22
125,Barra Do Corda,BR,2021-06-14 03:40:11,-5.5,-45.25,73.26,81,65,3.2
126,Plyussa,RU,2021-06-14 03:40:12,58.4308,29.3654,55.87,83,65,5.37
127,Ilulissat,GL,2021-06-14 03:40:12,69.2167,-51.1,37.42,75,90,3.44
128,Aksarka,RU,2021-06-14 03:40:12,66.5606,67.7975,71.11,50,29,7.25
129,Sistranda,NO,2021-06-14 03:40:12,63.7256,8.834,50.9,89,100,23.33
130,Porto Novo,BJ,2021-06-14 03:40:13,6.4965,2.6036,82.22,82,74,5.23
131,Santa Cruz Del Norte,CU,2021-06-14 03:40:13,23.1539,-81.9236,77.72,83,96,10.2
132,Stornoway,GB,2021-06-14 03:40:13,58.2093,-6.3865,55.92,81,75,11.5
133,Odesskoye,RU,2021-06-14 03:40:14,54.2111,72.9651,75.88,49,42,6.29
134,Vuktyl,RU,2021-06-14 03:40:14,63.8567,57.3094,68.77,67,90,10.83
135,Matay,EG,2021-06-14 03:40:14,28.419,30.7792,71.98,56,0,12.06
136,Kongolo,CD,2021-06-14 03:40:14,-5.3833,27.0,66.63,62,100,3.18
137,Uvinza,TZ,2021-06-14 03:40:15,-5.1036,30.3911,63.3,77,98,1.7
138,Gamba,GA,2021-06-14 03:40:15,-2.65,10.0,74.82,90,99,2.44
139,Atasu,KZ,2021-06-14 03:40:15,48.6814,71.6433,67.95,49,0,10.42
140,Mecca,SA,2021-06-14 03:40:15,21.4267,39.8261,96.94,11,3,4.56
141,Carnot,CF,2021-06-14 03:40:16,4.9409,15.8665,64.69,97,91,1.92
142,Farso,DK,2021-06-14 03:40:16,56.7728,9.3393,59.2,86,23,10.18
143,Matola,MZ,2021-06-14 03:40:16,-25.9622,32.4589,62.55,88,0,3.44
144,Bathsheba,BB,2021-06-14 03:40:17,13.2167,-59.5167,81.21,83,40,26.46
145,Roald,NO,2021-06-14 03:40:17,62.5833,6.1333,54.16,87,75,18.41
146,Bharatpur,IN,2021-06-14 03:40:17,27.2167,77.4833,96.37,40,0,6.4
147,Vila Velha,BR,2021-06-14 03:40:17,-20.3297,-40.2925,57.94,84,56,11.81
148,Kaura Namoda,NG,2021-06-14 03:40:18,12.5898,6.5779,84.72,48,13,7.72
149,Kalachinsk,RU,2021-06-14 03:40:18,55.0529,74.5751,72.46,56,20,4.97
150,Verkhnyaya Toyma,RU,2021-06-14 03:40:18,62.2349,44.9985,67.42,75,37,4.85
151,Halifax,CA,2021-06-14 03:40:18,44.6453,-63.5724,53.65,91,1,3.44
