City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
111,Raduzhnyy,RU,81.48,broken clouds,62.0961,77.475,Gostiny Dvor Evgeniya
114,Kamina,CD,85.41,broken clouds,-8.7386,24.9906,Guest House Florvia
115,Cockburn Town,TC,80.26,clear sky,21.4612,-71.1419,Osprey Beach Hotel
116,Yaritagua,VE,81.66,broken clouds,10.08,-69.1261,Apartamento de Julian Cotillo
117,Kralendijk,BQ,80.58,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
125,Kavaratti,IN,83.57,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
126,Sao Jose Do Belmonte,BR,75.43,overcast clouds,-7.8614,-38.7597,Pousada Pedra do Reino
128,Santona,ES,86.31,clear sky,43.4439,-3.4576,Playamar
129,Jalu,LY,89.31,clear sky,29.0331,21.5482,صاحبة الفخامة
133,Soyo,AO,81.82,overcast clouds,-6.1349,12.3689,Hotel Mpampa
134,Ajdabiya,LY,80.92,clear sky,30.7554,20.2263,Almadina Hotel
135,Cabo Rojo,PR,83.89,overcast clouds,18.0866,-67.1457,Hotel Perichi's
136,Calabozo,VE,78.51,scattered clouds,8.9242,-67.4293,Hotel Giardini
137,Kulhudhuffushi,MV,83.28,overcast clouds,6.6221,73.07,Haajy Guest House 1
138,Kudahuvadhoo,MV,83.46,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
142,Rondonopolis,BR,75.52,clear sky,-16.4708,-54.6356,Serras Hotel
144,Hithadhoo,MV,82.98,broken clouds,-0.6,73.0833,Scoop Guest House
146,Caravelas,BR,75.45,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
149,Boueni,YT,82.38,scattered clouds,-12.9025,45.0761,The feet in water
153,Souillac,MU,77.38,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
156,Touros,BR,82.27,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
157,Tambura,SS,89.49,overcast clouds,5.6,27.4667,Rikito Lodge
163,Cuamba,MZ,79.97,clear sky,-14.8031,36.5372,Hotel Vision
164,Mogadishu,SO,84.07,few clouds,2.0371,45.3438,Hotel Juba
169,Sao Miguel,BR,79.12,scattered clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
170,Abha,SA,85.82,dust,18.2164,42.5053,Abha Hotel
