City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
111,Raduzhnyy,RU,62.0961,77.475,81.48,30,76,12.19,broken clouds
112,Tallahassee,US,30.4383,-84.2807,74.64,97,30,1.01,scattered clouds
113,San Rafael,AR,-34.6177,-68.3301,47.16,54,44,9.28,scattered clouds
114,Kamina,CD,-8.7386,24.9906,85.41,19,56,4.34,broken clouds
115,Cockburn Town,TC,21.4612,-71.1419,80.26,80,7,21.05,clear sky
116,Yaritagua,VE,10.08,-69.1261,81.66,77,84,2.68,broken clouds
117,Kralendijk,BQ,12.15,-68.2667,80.58,78,90,14.97,overcast clouds
118,Butembo,CD,0.15,29.2833,69.21,69,100,1.5,light rain
119,Akureyri,IS,65.6835,-18.0878,37.33,75,75,4.61,broken clouds
120,Coracora,PE,-15.0333,-73.7833,45.16,56,40,4.05,scattered clouds
121,Beloha,MG,-25.1667,45.05,76.21,49,0,12.21,clear sky
122,Maniitsoq,GL,65.4167,-52.9,39.7,78,59,11.68,broken clouds
123,Taguatinga,BR,-12.3857,-46.5711,82.56,46,54,10.69,broken clouds
124,Belmonte,BR,-15.8631,-38.8828,72.1,79,37,10.45,scattered clouds
125,Kavaratti,IN,10.5669,72.642,83.57,77,94,22.88,overcast clouds
126,Sao Jose Do Belmonte,BR,-7.8614,-38.7597,75.43,64,98,10.29,overcast clouds
127,Aksarka,RU,66.5606,67.7975,78.13,36,96,5.84,overcast clouds
128,Santona,ES,43.4439,-3.4576,86.31,73,6,8.32,clear sky
129,Jalu,LY,29.0331,21.5482,89.31,21,0,10.8,clear sky
130,Richards Bay,ZA,-28.783,32.0377,74.48,70,6,11.05,clear sky
131,Felipe Carrillo Puerto,MX,19.5833,-88.05,74.03,98,100,2.48,overcast clouds
132,Arraial Do Cabo,BR,-22.9661,-42.0278,67.86,77,75,3.44,broken clouds
133,Soyo,AO,-6.1349,12.3689,81.82,68,98,8.84,overcast clouds
134,Ajdabiya,LY,30.7554,20.2263,80.92,44,0,15.79,clear sky
135,Cabo Rojo,PR,18.0866,-67.1457,83.89,77,100,1.01,overcast clouds
136,Calabozo,VE,8.9242,-67.4293,78.51,73,26,5.17,scattered clouds
137,Kulhudhuffushi,MV,6.6221,73.07,83.28,77,100,17.6,overcast clouds
138,Kudahuvadhoo,MV,2.6708,72.8944,83.46,72,58,10.8,broken clouds
139,Henties Bay,NA,-22.116,14.2845,78.85,36,0,7.05,clear sky
140,Ponta Do Sol,PT,32.6667,-17.1,74.03,75,46,1.9,scattered clouds
141,Puerto Del Rosario,ES,28.5004,-13.8627,74.95,64,40,17.27,scattered clouds
142,Rondonopolis,BR,-16.4708,-54.6356,75.52,50,3,3.38,clear sky
143,Presidente Prudente,BR,-22.1256,-51.3889,54.95,82,0,6.91,clear sky
144,Hithadhoo,MV,-0.6,73.0833,82.98,73,63,9.24,broken clouds
145,Laguna,US,38.421,-121.4238,66.02,89,1,3.89,clear sky
146,Caravelas,BR,-17.7125,-39.2481,75.45,66,91,10.8,overcast clouds
147,Husavik,IS,66.0449,-17.3389,37.31,73,100,11.48,overcast clouds
148,Micomeseng,GQ,2.1462,10.6164,81.77,74,94,0.89,moderate rain
